id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,release_year,duration_seconds,instrumentalness,liveness
34,Desert Caravan,Nomad Mosaic,world,moody,0.58,98,0.51,0.64,0.79,2015,332,0.72,0.37
35,Crimson Steps,Luz del Monte,latin,romantic,0.74,120,0.66,0.72,0.83,2019,225,0.28,0.28
36,Quiet Rio,Mar Azul Trio,latin,chill,0.39,86,0.75,0.63,0.92,2013,267,0.34,0.44
37,Mirrorball Avenue,Velvet Comet,electronic,celebratory,0.85,118,0.94,0.96,0.09,2018,231,0.05,0.11
38,Rapid Transit,Breakline Unit,electronic,intense,0.95,174,0.61,0.80,0.02,2023,284,0.83,0.38
39,Gravity Drop,Bass Reactor,electronic,intense,0.98,140,0.42,0.67,0.01,2020,245,0.78,0.29
40,Starlight Signal,Nova Seven,pop,celebratory,0.88,126,0.95,0.93,0.07,2024,186,0.01,0.17
41,Paper Moon Parade,Sakura Arcade,pop,relaxed,0.79,130,0.87,0.86,0.14,2022,209,0.03,0.13
42,Satellite Garden,Glass Seasons,rock,relaxed,0.62,114,0.57,0.69,0.38,2021,252,0.11,0.20
43,Concrete Weather,North Static,rock,intense,0.90,148,0.34,0.55,0.09,2016,263,0.04,0.35
44,Stillwater Breath,Inner Current,ambient,chill,0.19,54,0.70,0.20,0.97,2012,428,0.99,0.04
45,The Last Crown,Teatro Celeste,classical,moody,0.82,92,0.45,0.16,0.89,2011,512,0.08,0.61
46,Electric Daydream,Color Theory,indie pop,relaxed,0.74,122,0.83,0.88,0.11,2024,201,0.06,0.10
47,City Poetry,Common Ground,hip hop,focused,0.31,70,0.52,0.35,0.68,2020,174,0.01,0.08
48,Temple Bells,Lotus Path,ambient,chill,0.08,48,0.73,0.08,0.99,2014,603,1.00,0.55
49,Victory Lap,Southside Crown,hip hop,confident,0.92,142,0.64,0.85,0.03,2023,178,0.01,0.24
50,Front Porch Sky,Willow Creek,folk,moody,0.46,94,0.65,0.58,0.87,2017,239,0.10,0.22
51,Analog Memories,Cassette Hearts,rock,moody,0.69,128,0.43,0.70,0.17,2015,246,0.05,0.16
52,Frozen Cathedral,Polar Veil,synthwave,moody,0.61,106,0.27,0.51,0.12,2019,294,0.64,0.07
53,Sunlit Mosaic,Harmony Market,indie pop,happy,0.66,110,0.88,0.78,0.64,2022,216,0.07,0.15
54,Midnight Brass,Quarter Note Club,jazz,confident,0.71,182,0.55,0.62,0.47,2010,318,0.92,0.83
55,Ocean Prayer,Coastal Voices,classical,romantic,0.38,68,0.78,0.22,0.96,2013,351,0.76,0.58
56,Pixel Quest,Bit Wanderer,synthwave,relaxed,0.83,150,0.85,0.81,0.03,2021,162,0.98,0.09
57,Deep Current,Subsurface Lab,ambient,focused,0.29,64,0.50,0.46,0.76,2018,389,0.93,0.05
58,Steel and Dust,Red Mesa Outlaws,rock,intense,0.86,136,0.59,0.65,0.19,2020,271,0.05,0.46
59,Carnival Sky,Bahia Motion,latin,celebratory,0.90,102,0.96,0.97,0.36,2023,223,0.14,0.67
60,Northern Lightsong,Fjord Story,folk,chill,0.33,78,0.74,0.44,0.95,2016,286,0.31,0.26
